Duration,segmentation,association,deviation,average,segmentationMap,associationMap,deviationMap
1568115194.209017642,2.49021,,,,,,
1568115194.873898934,,1.34237,,,,,
1568115194.878939473,,,0.000257609,,,,
1568115194.878939473,,,,1.7736e-05,,,
1568115196.017185715,2.30616,,,,,,
1568115196.683846223,,1.35306,,,,,
1568115196.683846223,,,0.000138804,,,,
1568115196.683846223,,,,6.508e-06,,,
1568115197.796872961,2.24881,,,,,,
1568115198.499352568,,1.42848,,,,,
1568115198.499352568,,,0.000171764,,,,
1568115198.499352568,,,,8.239e-06,,,
1568115199.758611211,2.54885,,,,,,
1568115200.428241821,,1.36491,,,,,
1568115200.428241821,,,0.000226339,,,,
1568115200.428241821,,,,1.2562e-05,,,
1568115201.641750050,2.47184,,,,,,
1568115202.331734528,,1.40402,,,,,
1568115202.331734528,,,0.000145923,,,,
1568115202.331734528,,,,9.441e-06,,,
1568115202.840349511,2.53946,,,,,,
1568115202.840349511,,1.59875,,,,,
1568115202.840349511,,,0.000181646,,,,
1568115202.840349511,,,,1.1655e-05,,,
